reference,city,state,country
592,Zona Bananera,Magdalena,Colombia
593,Villavicencio,Meta,Colombia
594,Acacias,Meta,Colombia
595,Cabuyaro,Meta,Colombia
596,Cubarral,Meta,Colombia
597,Cumaral,Meta,Colombia
598,El Calvario,Meta,Colombia
599,El Castillo,Meta,Colombia
600,El Dorado,Meta,Colombia
601,Granada,Meta,Colombia
602,Guamal,Meta,Colombia
603,Mapiripán,Meta,Colombia
604,Mesetas,Meta,Colombia
605,La Macarena,Meta,Colombia
606,Lejanías,Meta,Colombia
607,Puerto Concordia,Meta,Colombia
608,Puerto Gaitán,Meta,Colombia
609,Puerto López,Meta,Colombia
610,Puerto Lleras,Meta,Colombia
611,Puerto Rico,Meta,Colombia
612,Restrepo,Meta,Colombia
613,San Juanito,Meta,Colombia
614,San Martín,Meta,Colombia
615,Vista Hermosa,Meta,Colombia
616,Pasto,Nariño,Colombia
617,Albán,Nariño,Colombia
618,Aldana,Nariño,Colombia
619,Ancuyá,Nariño,Colombia
620,Barbacoas,Nariño,Colombia
621,Colón,Nariño,Colombia
622,Consaca,Nariño,Colombia
623,Contadero,Nariño,Colombia
624,Córdoba,Nariño,Colombia
625,Cuaspud,Nariño,Colombia
626,Cumbal,Nariño,Colombia
627,Cumbitara,Nariño,Colombia
628,El Charco,Nariño,Colombia
629,El Peñol,Nariño,Colombia
630,El Rosario,Nariño,Colombia
631,El Tambo,Nariño,Colombia
632,Funes,Nariño,Colombia
633,Guachucal,Nariño,Colombia
634,Guaitarilla,Nariño,Colombia
635,Gualmatán,Nariño,Colombia
636,Iles,Nariño,Colombia
637,Imués,Nariño,Colombia
638,Ipiales,Nariño,Colombia
639,La Cruz,Nariño,Colombia
640,La Florida,Nariño,Colombia
641,La Llanada,Nariño,Colombia
642,La Tola,Nariño,Colombia
643,La Unión,Nariño,Colombia
644,Leiva,Nariño,Colombia
645,Linares,Nariño,Colombia
646,Los Andes,Nariño,Colombia
647,Magüí,Nariño,Colombia
648,Mallama,Nariño,Colombia
649,Mosquera,Nariño,Colombia
650,Nariño,Nariño,Colombia
651,Olaya Herrera,Nariño,Colombia
652,Ospina,Nariño,Colombia
653,Francisco Pizarro,Nariño,Colombia
654,Policarpa,Nariño,Colombia
655,Potosí,Nariño,Colombia
656,Providencia,Nariño,Colombia
657,Puerres,Nariño,Colombia
658,Pupiales,Nariño,Colombia
659,Ricaurte,Nariño,Colombia
660,Roberto Payán,Nariño,Colombia
661,Samaniego,Nariño,Colombia
662,Sandoná,Nariño,Colombia
663,San Bernardo,Nariño,Colombia
664,San Lorenzo,Nariño,Colombia
665,San Pablo,Nariño,Colombia
666,Santa Bárbara,Nariño,Colombia
667,Sapuyes,Nariño,Colombia
668,Taminango,Nariño,Colombia
669,Tangua,Nariño,Colombia
670,Túquerres,Nariño,Colombia
671,Yacuanquer,Nariño,Colombia
672,Armenia,Quindío,Colombia
673,Buenavista,Quindío,Colombia
674,Circasia,Quindío,Colombia
675,Córdoba,Quindío,Colombia
676,Filandia,Quindío,Colombia
677,La Tebaida,Quindío,Colombia
678,Montenegro,Quindío,Colombia
679,Pijao,Quindío,Colombia
680,Quimbaya,Quindío,Colombia
681,Salento,Quindío,Colombia
682,Pereira,Risaralda,Colombia
683,Apía,Risaralda,Colombia
684,Balboa,Risaralda,Colombia
685,Dosquebradas,Risaralda,Colombia
686,Guática,Risaralda,Colombia
687,La Celia,Risaralda,Colombia
688,La Virginia,Risaralda,Colombia
689,Marsella,Risaralda,Colombia
690,Mistrató,Risaralda,Colombia
691,Pueblo Rico,Risaralda,Colombia
692,Quinchía,Risaralda,Colombia
693,Santuario,Risaralda,Colombia
694,Bucaramanga,Santander,Colombia
695,Aguada,Santander,Colombia
696,Albania,Santander,Colombia
697,Aratoca,Santander,Colombia
698,Barbosa,Santander,Colombia
699,Barichara,Santander,Colombia
700,Barrancabermeja,Santander,Colombia
701,Betulia,Santander,Colombia
702,Bolívar,Santander,Colombia
703,Cabrera,Santander,Colombia
704,California,Santander,Colombia
705,Carcasí,Santander,Colombia
706,Cepitá,Santander,Colombia
707,Cerrito,Santander,Colombia
708,Charalá,Santander,Colombia
709,Charta,Santander,Colombia
710,Chipatá,Santander,Colombia
711,Cimitarra,Santander,Colombia
712,Concepción,Santander,Colombia
713,Confines,Santander,Colombia
714,Contratación,Santander,Colombia
715,Coromoro,Santander,Colombia
716,Curití,Santander,Colombia
717,El Guacamayo,Santander,Colombia
718,El Playón,Santander,Colombia
719,Encino,Santander,Colombia
720,Enciso,Santander,Colombia
721,Florián,Santander,Colombia
722,Floridablanca,Santander,Colombia
723,Galán,Santander,Colombia
724,Gambita,Santander,Colombia
725,Girón,Santander,Colombia
726,Guaca,Santander,Colombia
727,Guadalupe,Santander,Colombia
728,Guapotá,Santander,Colombia
729,Guavatá,Santander,Colombia
730,Güepsa,Santander,Colombia
731,Jesús María,Santander,Colombia
732,Jordán,Santander,Colombia
733,La Belleza,Santander,Colombia
734,Landázuri,Santander,Colombia
735,La Paz,Santander,Colombia
736,Lebríja,Santander,Colombia
737,Los Santos,Santander,Colombia
738,Macaravita,Santander,Colombia
739,Málaga,Santander,Colombia
740,Matanza,Santander,Colombia
741,Mogotes,Santander,Colombia
742,Molagavita,Santander,Colombia
743,Ocamonte,Santander,Colombia
744,Oiba,Santander,Colombia
745,Onzaga,Santander,Colombia
746,Palmar,Santander,Colombia
747,Páramo,Santander,Colombia
748,Piedecuesta,Santander,Colombia
749,Pinchote,Santander,Colombia
750,Puente Nacional,Santander,Colombia
751,Rionegro,Santander,Colombia
752,San Andrés,Santander,Colombia
753,San Gil,Santander,Colombia
754,San Joaquín,Santander,Colombia
755,San Miguel,Santander,Colombia
756,Santa Bárbara,Santander,Colombia
757,Simacota,Santander,Colombia
758,Socorro,Santander,Colombia
759,Suaita,Santander,Colombia
760,Sucre,Santander,Colombia
761,Suratá,Santander,Colombia
762,Tona,Santander,Colombia
763,Vélez,Santander,Colombia
764,Vetas,Santander,Colombia
765,Villanueva,Santander,Colombia
766,Zapatoca,Santander,Colombia
767,Sincelejo,Sucre,Colombia
768,Buenavista,Sucre,Colombia
769,Caimito,Sucre,Colombia
770,Coloso,Sucre,Colombia
771,Coveñas,Sucre,Colombia
772,Chalán,Sucre,Colombia
773,El Roble,Sucre,Colombia
774,Galeras,Sucre,Colombia
775,Guaranda,Sucre,Colombia
776,La Unión,Sucre,Colombia
777,Los Palmitos,Sucre,Colombia
778,Majagual,Sucre,Colombia
779,Morroa,Sucre,Colombia
780,Ovejas,Sucre,Colombia
781,Palmito,Sucre,Colombia
782,San Benito Abad,Sucre,Colombia
783,San Marcos,Sucre,Colombia
784,San Onofre,Sucre,Colombia
785,San Pedro,Sucre,Colombia
786,Sucre,Sucre,Colombia
787,Tolú Viejo,Sucre,Colombia
788,Alpujarra,Tolima,Colombia
789,Alvarado,Tolima,Colombia
790,Ambalema,Tolima,Colombia
791,Armero,Tolima,Colombia
792,Ataco,Tolima,Colombia
793,Cajamarca,Tolima,Colombia
794,Chaparral,Tolima,Colombia
795,Coello,Tolima,Colombia
796,Coyaima,Tolima,Colombia
797,Cunday,Tolima,Colombia
798,Dolores,Tolima,Colombia
799,Espinal,Tolima,Colombia
800,Falan,Tolima,Colombia
801,Flandes,Tolima,Colombia
802,Fresno,Tolima,Colombia
803,Guamo,Tolima,Colombia
804,Herveo,Tolima,Colombia
805,Honda,Tolima,Colombia
806,Icononzo,Tolima,Colombia
807,Mariquita,Tolima,Colombia
808,Melgar,Tolima,Colombia
809,Murillo,Tolima,Colombia
810,Natagaima,Tolima,Colombia
811,Ortega,Tolima,Colombia
812,Palocabildo,Tolima,Colombia
813,Piedras,Tolima,Colombia
814,Planadas,Tolima,Colombia
815,Prado,Tolima,Colombia
816,Purificación,Tolima,Colombia
817,Rio Blanco,Tolima,Colombia
818,Roncesvalles,Tolima,Colombia
819,Rovira,Tolima,Colombia
820,Saldaña,Tolima,Colombia
821,Santa Isabel,Tolima,Colombia
822,Venadillo,Tolima,Colombia
823,Villahermosa,Tolima,Colombia
824,Villarrica,Tolima,Colombia
825,Arauquita,Arauca,Colombia
826,Cravo Norte,Arauca,Colombia
827,Fortul,Arauca,Colombia
828,Puerto Rondón,Arauca,Colombia
829,Saravena,Arauca,Colombia
830,Tame,Arauca,Colombia
831,Arauca,Arauca,Colombia
832,Yopal,Casanare,Colombia
833,Aguazul,Casanare,Colombia
834,Chámeza,Casanare,Colombia
835,Hato Corozal,Casanare,Colombia
836,La Salina,Casanare,Colombia
837,Monterrey,Casanare,Colombia
838,Pore,Casanare,Colombia
839,Recetor,Casanare,Colombia
840,Sabanalarga,Casanare,Colombia
841,Sácama,Casanare,Colombia
842,Tauramena,Casanare,Colombia
843,Trinidad,Casanare,Colombia
844,Villanueva,Casanare,Colombia
845,Mocoa,Putumayo,Colombia
846,Colón,Putumayo,Colombia
847,Orito,Putumayo,Colombia
848,Puerto Caicedo,Putumayo,Colombia
849,Puerto Guzmán,Putumayo,Colombia
850,Leguízamo,Putumayo,Colombia
851,Sibundoy,Putumayo,Colombia
852,San Francisco,Putumayo,Colombia
853,San Miguel,Putumayo,Colombia
854,Santiago,Putumayo,Colombia
855,Leticia,Amazonas,Colombia
856,El Encanto,Amazonas,Colombia
857,La Chorrera,Amazonas,Colombia
858,La Pedrera,Amazonas,Colombia
859,La Victoria,Amazonas,Colombia
860,Puerto Arica,Amazonas,Colombia
861,Puerto Nariño,Amazonas,Colombia
862,Puerto Santander,Amazonas,Colombia
863,Tarapacá,Amazonas,Colombia
864,Inírida,Guainía,Colombia
865,Barranco Minas,Guainía,Colombia
866,Mapiripana,Guainía,Colombia
867,San Felipe,Guainía,Colombia
868,Puerto Colombia,Guainía,Colombia
869,La Guadalupe,Guainía,Colombia
870,Cacahual,Guainía,Colombia
871,Pana Pana,Guainía,Colombia
872,Mitú,Vaupés,Colombia
873,Carurú,Vaupés,Colombia
874,Taraira,Vaupés,Colombia
875,Papunahua,Vaupés,Colombia
876,Yavaraté,Vaupés,Colombia
877,Pacoa,Vaupés,Colombia
878,Morichal,Guainía,Colombia
879,Puerto Carreño,Vichada,Colombia
880,La Primavera,Vichada,Colombia
881,Santa Rosalía,Vichada,Colombia
882,Cumaribo,Vichada,Colombia
883,San José del Fragua,Caquetá,Colombia
884,Barranca de Upía,Meta,Colombia
885,Palmas del Socorro,Santander,Colombia
886,San Juan de Río Seco,Cundinamarca,Colombia
887,Juan de Acosta,Atlántico,Colombia
888,Fuente de Oro,Meta,Colombia
889,San Luis de Gaceno,Casanare,Colombia
890,El Litoral del San Juan,Chocó,Colombia
891,Villa de San Diego de Ubate,Cundinamarca,Colombia
892,Barranco de Loba,Bolívar,Colombia
893,Togüí,Boyacá,Colombia
894,Santa Rosa del Sur,Bolívar,Colombia
895,El Cantón del San Pablo,Chocó,Colombia
896,Villa de Leyva,Boyacá,Colombia
897,San Sebastián de Buenavista,Magdalena,Colombia
898,Paz de Río,Boyacá,Colombia
899,Hatillo de Loba,Bolívar,Colombia
900,Sabanas de San Angel,Magdalena,Colombia
901,Calamar,Guaviare,Colombia
902,Río de Oro,Cesar,Colombia
903,San Pedro de Uraba,Antioquia,Colombia
904,San José del Guaviare,Guaviare,Colombia
905,Santa Rosa de Viterbo,Boyacá,Colombia
906,Santander de Quilichao,Cauca,Colombia
907,Miraflores,Guaviare,Colombia
908,Santafé de Antioquia,Antioquia,Colombia
909,San Carlos de Guaroa,Meta,Colombia
910,Palmar de Varela,Atlántico,Colombia
911,Santa Rosa de Osos,Antioquia,Colombia
912,San Andrés de Cuerquía,Antioquia,Colombia
913,Valle de San Juan,Tolima,Colombia
914,San Vicente de Chucurí,Santander,Colombia
915,San José de Miranda,Santander,Colombia
916,Providencia,"Archipiélago de San Andrés, Providencia y Santa Catalina",Colombia
917,Santa Rosa de Cabal,Risaralda,Colombia
918,Guayabal de Siquima,Cundinamarca,Colombia
919,Belén de Los Andaquies,Caquetá,Colombia
920,Paz de Ariporo,Casanare,Colombia
921,Santa Helena del Opón,Santander,Colombia
922,San Pablo de Borbur,Boyacá,Colombia
923,La Jagua del Pilar,La Guajira,Colombia
924,La Jagua de Ibirico,Cesar,Colombia
925,San Luis de Sincé,Sucre,Colombia
926,San Luis de Gaceno,Boyacá,Colombia
927,El Carmen de Bolívar,Bolívar,Colombia
928,El Carmen de Atrato,Chocó,Colombia
929,San Juan de Betulia,Sucre,Colombia
930,Pijiño del Carmen,Magdalena,Colombia
931,Vigía del Fuerte,Antioquia,Colombia
932,San Martín de Loba,Bolívar,Colombia
933,Altos del Rosario,Bolívar,Colombia
934,Carmen de Apicala,Tolima,Colombia
935,San Antonio del Tequendama,Cundinamarca,Colombia
936,Sabana de Torres,Santander,Colombia
937,El Retorno,Guaviare,Colombia
938,San José de Uré,Córdoba,Colombia
939,San Pedro de Cartago,Nariño,Colombia
940,Campo de La Cruz,Atlántico,Colombia
941,San Juan de Arama,Meta,Colombia
942,San José de La Montaña,Antioquia,Colombia
943,Cartagena del Chairá,Caquetá,Colombia
944,San José del Palmar,Chocó,Colombia
945,Agua de Dios,Cundinamarca,Colombia
946,San Jacinto del Cauca,Bolívar,Colombia
947,San Agustín,Huila,Colombia
948,El Tablón de Gómez,Nariño,Colombia
949,San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",Colombia
950,San José de Pare,Boyacá,Colombia
951,Valle de Guamez,Putumayo,Colombia
952,San Pablo de Borbur,Bolívar,Colombia
953,Santiago de Tolú,Sucre,Colombia
954,Bogotá D.C.,Bogotá D.C.,Colombia
955,Carmen de Carupa,Cundinamarca,Colombia
956,Ciénaga de Oro,Córdoba,Colombia
957,San Juan de Urabá,Antioquia,Colombia
958,San Juan del Cesar,La Guajira,Colombia
959,El Carmen de Chucurí,Santander,Colombia
960,El Carmen de Viboral,Antioquia,Colombia
961,Belén de Umbría,Risaralda,Colombia
962,Belén de Bajira,Chocó,Colombia
963,Valle de San José,Santander,Colombia
964,San Luis,Tolima,Colombia
965,San Miguel de Sema,Boyacá,Colombia
966,San Antonio,Tolima,Colombia
967,San Benito,Santander,Colombia
968,Vergara,Cundinamarca,Colombia
969,San Carlos,Córdoba,Colombia
970,Puerto Alegría,Amazonas,Colombia
971,Hato,Santander,Colombia
972,San Jacinto,Bolívar,Colombia
973,San Sebastián,Cauca,Colombia
974,San Carlos,Antioquia,Colombia
975,Tuta,Boyacá,Colombia
976,Silos,Norte de Santander,Colombia
977,Cácota,Norte de Santander,Colombia
978,El Dovio,Valle del Cauca,Colombia
979,Toledo,Norte de Santander,Colombia
980,Roldanillo,Valle del Cauca,Colombia
981,Mutiscua,Norte de Santander,Colombia
982,Argelia,Valle del Cauca,Colombia
983,El Zulia,Norte de Santander,Colombia
984,Salazar,Norte de Santander,Colombia
985,Sevilla,Valle del Cauca,Colombia
986,Zarzal,Valle del Cauca,Colombia
987,Cucutilla,Norte de Santander,Colombia
988,El Cerrito,Valle del Cauca,Colombia
989,Cartago,Valle del Cauca,Colombia
990,Caicedonia,Valle del Cauca,Colombia
991,Puerto Santander,Norte de Santander,Colombia
992,Gramalote,Norte de Santander,Colombia
993,El Cairo,Valle del Cauca,Colombia
994,El Tarra,Norte de Santander,Colombia
995,La Unión,Valle del Cauca,Colombia
996,Restrepo,Valle del Cauca,Colombia
997,Teorama,Norte de Santander,Colombia
998,Dagua,Valle del Cauca,Colombia
999,Arboledas,Norte de Santander,Colombia
1000,Guacarí,Valle del Cauca,Colombia
1001,Lourdes,Norte de Santander,Colombia
1002,Ansermanuevo,Valle del Cauca,Colombia
1003,Bochalema,Norte de Santander,Colombia
1004,Bugalagrande,Valle del Cauca,Colombia
1005,Convención,Norte de Santander,Colombia
1006,Hacarí,Norte de Santander,Colombia
1007,La Victoria,Valle del Cauca,Colombia
1008,Herrán,Norte de Santander,Colombia
1009,Ginebra,Valle del Cauca,Colombia
1010,Yumbo,Valle del Cauca,Colombia
1011,Obando,Valle del Cauca,Colombia
1012,Tibú,Norte de Santander,Colombia
1013,San Cayetano,Norte de Santander,Colombia
1014,San Calixto,Norte de Santander,Colombia
1015,Bolívar,Valle del Cauca,Colombia
1016,La Playa,Norte de Santander,Colombia
1017,Cali,Valle del Cauca,Colombia
1018,San Pedro,Valle del Cauca,Colombia
1019,Guadalajara de Buga,Valle del Cauca,Colombia
1020,Chinácota,Norte de Santander,Colombia
1021,Ragonvalia,Norte de Santander,Colombia
1022,La Esperanza,Norte de Santander,Colombia
1023,Villa del Rosario,Norte de Santander,Colombia
1024,Chitagá,Norte de Santander,Colombia
1025,Calima,Valle del Cauca,Colombia
1026,Sardinata,Norte de Santander,Colombia
1027,Andalucía,Valle del Cauca,Colombia
1028,Pradera,Valle del Cauca,Colombia
1029,Abrego,Norte de Santander,Colombia
1030,Los Patios,Norte de Santander,Colombia
1031,Ocaña,Norte de Santander,Colombia
1032,Bucarasica,Norte de Santander,Colombia
1033,Yotoco,Valle del Cauca,Colombia
1034,Palmira,Valle del Cauca,Colombia
1035,Riofrío,Valle del Cauca,Colombia
1036,Santiago,Norte de Santander,Colombia
1037,Alcalá,Valle del Cauca,Colombia
1038,Versalles,Valle del Cauca,Colombia
1039,Labateca,Norte de Santander,Colombia
1040,Cachirá,Norte de Santander,Colombia
1041,Villa Caro,Norte de Santander,Colombia
1042,Durania,Norte de Santander,Colombia
1043,El Águila,Valle del Cauca,Colombia
1044,Toro,Valle del Cauca,Colombia
1045,Candelaria,Valle del Cauca,Colombia
1046,La Cumbre,Valle del Cauca,Colombia
1047,Ulloa,Valle del Cauca,Colombia
1048,Trujillo,Valle del Cauca,Colombia
1049,Vijes,Valle del Cauca,Colombia
1050,Chimá,Santander,Colombia
1051,Sampués,Sucre,Colombia
1052,Nunchía,Casanare,Colombia
1053,Pamplona,Norte de Santander,Colombia
1054,Albán,Cundinamarca,Colombia
1055,Montelíbano,Córdoba,Colombia
1056,Puerto Asís,Putumayo,Colombia
1057,Corozal,Sucre,Colombia
1058,Buesaco,Nariño,Colombia
1059,Maní,Casanare,Colombia
1060,El Peñón,Bolívar,Colombia
1061,Tuluá,Valle del Cauca,Colombia
1062,Casabianca,Tolima,Colombia
1063,Anolaima,Cundinamarca,Colombia
1064,Chía,Cundinamarca,Colombia
1065,San Andrés de Tumaco,Nariño,Colombia
1066,Milán,Caquetá,Colombia
1067,Capitanejo,Santander,Colombia
1068,Anzoátegui,Tolima,Colombia
1069,Florida,Valle del Cauca,Colombia
1070,Repelón,Atlántico,Colombia
1071,Frontino,Antioquia,Colombia
1072,El Peñón,Cundinamarca,Colombia
1073,Pamplonita,Norte de Santander,Colombia
1074,Miriti Paraná,Amazonas,Colombia
1075,Támara,Casanare,Colombia
1076,Tibasosa,Boyacá,Colombia
1077,Páez,Cauca,Colombia
1078,Ibagué,Tolima,Colombia
1079,Puerto Colombia,Atlántico,Colombia
1080,Belén,Nariño,Colombia
1081,Sopó,Cundinamarca,Colombia
1082,Carmen del Darien,Chocó,Colombia
1083,Gama,Cundinamarca,Colombia
1084,Sasaima,Cundinamarca,Colombia
1085,Chachagüí,Nariño,Colombia
1086,Cúcuta,Norte de Santander,Colombia
1087,Cartagena,Bolívar,Colombia
1088,Granada,Antioquia,Colombia
1089,Santa Bárbara de Pinto,Magdalena,Colombia
1090,María la Baja,Bolívar,Colombia
1091,La Montañita,Caquetá,Colombia
1092,San Vicente del Caguán,Caquetá,Colombia
1093,El Peñón,Santander,Colombia
1094,Jardín,Antioquia,Colombia
1095,Jamundí,Valle del Cauca,Colombia
1096,Tadó,Chocó,Colombia
1097,Orocué,Casanare,Colombia
1098,Líbano,Tolima,Colombia
1099,Yacopí,Cundinamarca,Colombia
1100,Calarcá,Quindío,Colombia
1101,Sonsón,Antioquia,Colombia
1102,El Carmen,Norte de Santander,Colombia
1103,Lérida,Tolima,Colombia
1104,La Apartada,Córdoba,Colombia
1105,San Cristóbal,Bolívar,Colombia
1106,Fusagasugá,Cundinamarca,Colombia
1107,Zambrano,Bolívar,Colombia
1108,La Uvita,Boyacá,Colombia
1109,Zipaquirá,Cundinamarca,Colombia
1110,Génova,Quindío,Colombia
1111,Suárez,Tolima,Colombia
1112,Castilla la Nueva,Meta,Colombia
1113,Belén,Boyacá,Colombia
1114,Unión Panamericana,Chocó,Colombia
1115,Pueblo Viejo,Magdalena,Colombia
1116,Villagarzón,Putumayo,Colombia
1117,Facatativá,Cundinamarca,Colombia
1118,Puerto Libertador,Córdoba,Colombia
1119,Marquetalia,Caldas,Colombia
1120,Arboleda,Nariño,Colombia
1121,Buenaventura,Valle del Cauca,Colombia
1122,Ciénaga,Magdalena,Colombia
1123,Ponedera,Atlántico,Colombia
